epochs,loss
0,0.6269849538803101
10,0.5564138889312744
20,0.5045408010482788
30,0.4642293155193329
40,0.4291975498199463
50,0.39543789625167847
60,0.36467158794403076
70,0.33524566888809204
80,0.3013112246990204
90,0.25787490606307983
100,0.21155838668346405
110,0.17594625055789948
120,0.14719070494174957
130,0.12349192798137665
140,0.10847663879394531
150,0.10174668580293655
160,0.09774810820817947
170,0.09362825751304626
180,0.08922617882490158
190,0.08479107171297073
200,0.08008667826652527
210,0.0739622414112091
220,0.06741832941770554
230,0.06037396937608719
240,0.05284285172820091
250,0.044759880751371384
260,0.03589941933751106
270,0.02717611752450466
280,0.019672632217407227
290,0.014173929579555988
300,0.010092563927173615
310,0.006818440742790699
320,0.004548362921923399
330,0.003190855961292982
340,0.0022600481752306223
350,0.001636854954995215
360,0.0012166266096755862
368,0.0009862268343567848
