epochs,training_loss,training_accuracy,testing_loss,testing_accuracy
1,1.4033000639795266,0.57596,1.37275,0.5698
2,1.139017274472169,0.62582,1.1529375,0.6099
3,1.027380038387716,0.65058,1.3203125,0.6316
4,0.9547325655790148,0.69344,1.383,0.6584
5,0.8901407549584133,0.70576,1.1980625,0.6691
6,0.8458080614203455,0.7187,1.1165625,0.6783
7,0.8085911708253358,0.71964,1.0956875,0.6706
8,0.7810786948176583,0.74126,1.2170625,0.6848
9,0.7510134357005759,0.75228,1.0414375,0.6955
10,0.7295124760076775,0.74458,1.2439375,0.6847
11,0.7085930902111324,0.77192,1.0808125,0.7024
12,0.6887210492642355,0.77726,1.0843125,0.7007
13,0.665321817018554,0.77906,1.15825,0.702
14,0.6533563659628919,0.78164,0.9529375,0.703
15,0.6405841330774152,0.78764,0.9818125,0.7045
16,0.6234305822136916,0.79054,1.059875,0.7044
17,0.6122476007677543,0.79996,1.0459375,0.7085
18,0.6009277031349968,0.80532,0.8510625,0.7085
19,0.5927396033269354,0.80706,0.8631875,0.7005
20,0.580700575815739,0.81328,0.973625,0.7071
21,0.5646577095329495,0.81278,0.995,0.7072
22,0.562170185540627,0.81484,1.0513125,0.706
23,0.5510492642354446,0.8189,0.9533125,0.7078
24,0.5496692258477287,0.82074,0.9770625,0.7087
25,0.5322514395393474,0.82286,0.82275,0.7024
26,0.535980166346769,0.82544,0.9280625,0.7047
27,0.5268739603326935,0.82926,0.9544375,0.7096
28,0.5141682661548305,0.82884,0.926375,0.7121
29,0.5048643634037108,0.83226,0.7851875,0.7129
30,0.5072104926423544,0.83144,0.8511875,0.7092
31,0.4967338451695457,0.83832,0.8319375,0.7101
32,0.4895463851567498,0.83954,0.908625,0.7044
33,0.48723224568138196,0.83814,0.861625,0.7051
34,0.4851017274472169,0.83954,0.8315625,0.7035
35,0.4741074856046065,0.83306,1.0570625,0.7048
36,0.47092578374920024,0.83544,0.8874375,0.7003
37,0.46744209852847085,0.84682,0.76,0.7068
38,0.46152527191298787,0.8454,0.896125,0.7028
39,0.4553320537428023,0.84748,1.0374375,0.704
40,0.45309277031349965,0.85086,1.0760625,0.7074
41,0.44727703134996805,0.85058,1.0476875,0.7038
42,0.44169225847728727,0.85264,1.193625,0.7088
43,0.4434401791426743,0.8552,1.09975,0.7121
44,0.4368969929622521,0.85408,1.02575,0.7071
45,0.43772168905950093,0.85598,0.898875,0.7101
46,0.43215355086372365,0.8564,1.0149375,0.7078
47,0.43299040307101727,0.85382,1.076875,0.7048
48,0.42588803582853485,0.8597,1.0803125,0.7077
49,0.4187607165706974,0.86126,1.0241875,0.7098
50,0.41880038387715934,0.85706,1.17575,0.7011
