epochs,training_loss,training_accuracy,testing_loss,testing_accuracy
1,1.660900831733845,0.47948,1.672,0.4618
2,1.4544017914267435,0.52182,1.4719375,0.488
3,1.3517472808701216,0.56276,1.49025,0.5089
4,1.2712853486884197,0.5778,1.3660625,0.5047
5,1.20029814459373,0.6078,1.3491875,0.5162
6,1.1489718490083174,0.63178,1.4400625,0.5279
7,1.093195137555982,0.64322,1.481875,0.5226
8,1.0494113883557261,0.65478,1.345125,0.528
9,1.0043358925143955,0.6744,1.28975,0.5197
10,0.9587460012795905,0.68886,1.52025,0.5266
11,0.9204369801663468,0.7123,1.4646875,0.5356
12,0.8893653230966091,0.7069,1.45775,0.5243
13,0.8529564939219451,0.71726,1.367875,0.5281
14,0.8252923864363404,0.7307,1.3913125,0.5272
15,0.7950729366602688,0.74448,1.4184375,0.5236
16,0.7612034548944338,0.75104,1.4179375,0.5246
17,0.7394644913627638,0.77498,1.59725,0.5251
18,0.7125451055662189,0.77086,1.651125,0.5175
19,0.6894363403710813,0.78026,1.714875,0.5278
20,0.6670908509277031,0.78426,1.6755,0.5225
21,0.641957773512476,0.80086,1.526375,0.5234
22,0.6239373000639795,0.79632,1.48625,0.5201
23,0.6115169545745361,0.80336,1.7995625,0.5229
24,0.5853320537428023,0.81038,1.6525625,0.5219
25,0.5707607165706974,0.81328,1.8019375,0.5211
26,0.5541247600767755,0.83766,1.7175625,0.5207
27,0.5396577095329494,0.82028,2.008125,0.5121
28,0.5274766474728088,0.83438,2.060625,0.5162
29,0.5165815738963532,0.8387,1.870375,0.5145
30,0.49971465131158027,0.84884,2.0406875,0.5115
31,0.48567626359564936,0.84828,2.1403125,0.5119
32,0.47506909788867563,0.85472,1.955125,0.5212
33,0.46332821497120924,0.8534,2.2148125,0.5218
34,0.4557536788227767,0.86288,2.4755625,0.5116
35,0.4387223288547664,0.86856,2.1021875,0.5185
36,0.4356628278950736,0.86396,2.289875,0.5161
37,0.42069545745361486,0.87112,2.4596875,0.5184
38,0.4104568138195777,0.87092,2.4385625,0.5114
39,0.4048170185540627,0.87632,2.5299375,0.5154
40,0.3993941138835573,0.88096,2.4245,0.5149
41,0.3891535508637236,0.8798,2.534375,0.5046
42,0.3769200255918106,0.88608,2.6053125,0.5172
43,0.37371657069737685,0.8737,2.4438125,0.5063
44,0.37208957133717213,0.89082,2.5239375,0.5167
45,0.35209724888035826,0.88426,2.811625,0.5082
46,0.3544414587332054,0.88732,3.30775,0.509
47,0.35009085092770315,0.89542,3.367875,0.509
48,0.33661420345489446,0.89266,2.9965625,0.5103
49,0.3399513755598209,0.90146,2.9108125,0.5146
50,0.32865898912348046,0.88394,3.0950625,0.5086
