epochs,training_loss,training_accuracy,testing_loss,testing_accuracy
1,1.533,0.57154,1.084,0.5624
2,1.357,0.62088,0.829,0.6045
3,1.236,0.66766,1.03,0.639
4,0.676,0.69006,1.078,0.6513
5,0.982,0.7051,1.113,0.6646
6,0.92,0.7247,1.416,0.6804
7,0.92,0.72584,1.183,0.6812
8,0.845,0.73578,1.002,0.6833
9,0.417,0.7502,1.183,0.6889
10,0.638,0.75802,1.01,0.6908
11,0.865,0.7607,1.019,0.6959
12,1.176,0.77012,1.17,0.6922
13,0.448,0.77674,0.871,0.6961
14,0.925,0.78002,1.117,0.6998
15,0.566,0.7829,1.16,0.6945
16,0.509,0.79054,1.019,0.7031
17,0.353,0.78794,0.899,0.6966
18,0.507,0.79308,1.244,0.6963
19,0.52,0.80316,1.405,0.6999
20,1.137,0.7994,1.202,0.6981
21,0.357,0.79828,1.233,0.6914
22,0.175,0.80406,1.087,0.701
23,0.162,0.80996,0.841,0.7019
24,0.643,0.81772,0.904,0.7014
25,0.446,0.81812,1.32,0.7054
26,0.368,0.81828,1.147,0.7022
27,0.688,0.82064,1.247,0.7026
28,0.731,0.82282,1.086,0.7018
29,0.235,0.8245,0.995,0.7037
30,0.343,0.821,1.349,0.7022
31,0.672,0.83554,1.27,0.7011
32,0.368,0.83172,1.073,0.6996
33,0.565,0.83594,1.294,0.7031
34,0.439,0.83172,1.493,0.7046
35,0.703,0.8346,1.468,0.7023
36,0.677,0.83388,1.003,0.6981
37,0.781,0.83876,1.166,0.7001
38,0.372,0.84002,1.009,0.7078
39,0.296,0.84028,1.523,0.7009
40,0.169,0.84432,1.689,0.7019
41,0.378,0.84528,1.471,0.7047
42,0.327,0.84882,1.122,0.7032
43,0.375,0.84824,1.348,0.7045
44,0.266,0.8465,1.174,0.697
45,1.015,0.84652,1.583,0.7038
46,0.538,0.85132,1.224,0.6987
47,0.616,0.84698,1.42,0.7025
48,0.459,0.85168,0.77,0.6947
49,0.197,0.85198,1.242,0.7
50,0.312,0.85466,0.799,0.6999
51,0.443,0.85594,1.302,0.696
52,0.529,0.85964,1.205,0.7032
53,0.198,0.85768,1.89,0.6986
54,0.473,0.8581,1.531,0.7056
55,0.308,0.85664,1.183,0.7003
56,0.644,0.86064,1.677,0.7052
57,0.663,0.86026,0.778,0.6983
58,0.616,0.86286,0.926,0.7026
59,0.293,0.865,1.549,0.7068
60,0.349,0.85992,1.121,0.7045
61,0.382,0.86564,0.991,0.7001
62,0.282,0.85662,1.019,0.7025
63,0.42,0.86542,1.086,0.7006
64,0.093,0.86738,1.151,0.6991
65,0.386,0.86968,1.203,0.7003
66,0.301,0.86902,0.953,0.7039
67,0.369,0.86886,1.476,0.7053
68,0.331,0.8653,1.16,0.7056
69,0.165,0.86948,1.127,0.7038
70,0.694,0.87166,1.383,0.7002
71,0.604,0.8707,1.062,0.705
72,0.525,0.86724,1.421,0.7044
73,0.157,0.87186,1.104,0.706
74,0.049,0.87154,1.308,0.6956
75,0.413,0.87646,1.361,0.7022
76,0.261,0.87474,1.724,0.6969
77,0.231,0.87166,1.633,0.6988
78,0.152,0.8737,1.378,0.7042
79,0.168,0.8731,1.35,0.7032
80,0.314,0.87456,1.712,0.7026
81,0.542,0.8738,1.617,0.6991
82,0.411,0.87822,0.988,0.7005
83,0.276,0.87548,1.585,0.7032
84,0.858,0.87186,1.252,0.6995
85,0.358,0.88232,1.101,0.7025
86,1.225,0.8773,1.112,0.696
87,0.643,0.87798,1.213,0.7079
88,0.421,0.8818,1.3,0.6995
89,0.435,0.87922,1.389,0.7041
90,0.625,0.87614,0.879,0.6976
91,0.198,0.88222,1.098,0.7083
92,0.546,0.88172,2.1,0.7022
93,0.284,0.88066,1.245,0.7018
94,0.288,0.8798,1.077,0.6977
95,0.558,0.88012,1.09,0.7008
96,0.334,0.8804,1.127,0.7056
97,0.722,0.88476,1.267,0.7036
98,0.21,0.8839,1.07,0.7018
99,0.249,0.88408,1.771,0.7046
100,0.191,0.88396,1.239,0.7036
