epochs,training_loss,training_accuracy,testing_loss,testing_accuracy
1,0.999,0.47036,1.493,0.4584
2,1.86,0.5213,1.638,0.487
3,1.092,0.5446,1.515,0.5039
4,1.182,0.57806,1.058,0.5126
5,0.891,0.60104,1.454,0.5194
6,0.977,0.61736,1.509,0.5186
7,1.511,0.63316,1.319,0.5218
8,0.892,0.65758,1.25,0.5284
9,1.016,0.67542,1.6,0.5308
10,0.504,0.67904,1.665,0.5254
11,0.436,0.6986,1.504,0.5334
12,0.941,0.70656,1.4,0.5308
13,0.574,0.71782,1.493,0.5216
14,1.238,0.73208,1.597,0.5299
15,0.744,0.73536,1.664,0.5212
16,0.859,0.75188,1.437,0.5294
17,0.302,0.76662,1.495,0.5192
18,0.738,0.77076,1.625,0.5241
19,0.546,0.7806,1.886,0.5191
20,0.593,0.78252,1.487,0.5172
21,0.502,0.7858,2.023,0.5131
22,0.796,0.79214,1.938,0.5172
23,0.352,0.8052,1.331,0.5152
24,0.694,0.80726,2.297,0.5131
25,0.684,0.80978,1.556,0.516
26,0.542,0.81818,1.874,0.5089
27,0.412,0.8336,2.33,0.523
28,0.392,0.8289,2.249,0.5122
29,0.252,0.82224,2.161,0.5146
30,0.613,0.83702,2.47,0.5175
31,0.585,0.84434,2.33,0.5069
32,0.368,0.85008,1.65,0.5137
33,0.181,0.8575,2.25,0.5088
34,0.303,0.86266,2.718,0.5164
35,0.393,0.86202,1.713,0.5185
36,0.189,0.8525,2.784,0.505
37,0.239,0.87066,2.359,0.5042
38,0.627,0.86332,1.63,0.5107
39,0.119,0.8824,2.064,0.5135
40,0.383,0.86968,2.701,0.5044
41,0.392,0.87796,2.304,0.5104
42,0.134,0.87896,2.311,0.5153
43,0.509,0.88638,2.881,0.5117
44,0.201,0.87304,2.978,0.5083
45,0.081,0.88078,2.468,0.5119
46,0.13,0.8921,2.753,0.507
47,0.207,0.89286,3.203,0.5014
48,1.315,0.89222,2.902,0.5075
49,0.304,0.90016,2.434,0.5023
50,0.217,0.8952,3.078,0.5034
51,0.113,0.89082,3.188,0.5025
52,0.498,0.8948,3.146,0.5092
53,0.08,0.9062,3.681,0.5087
54,0.318,0.90176,3.889,0.5107
55,0.512,0.9084,2.946,0.512
56,0.31,0.89958,2.933,0.5073
57,0.963,0.91974,2.206,0.5077
58,0.137,0.90612,3.038,0.5008
59,0.511,0.9166,4.165,0.5031
60,0.128,0.91272,1.692,0.5052
61,0.164,0.9195,2.546,0.5112
62,0.131,0.9094,2.913,0.5038
63,0.385,0.92064,3.508,0.5045
64,0.131,0.92226,4.334,0.5046
65,0.5,0.9211,2.978,0.5039
66,0.369,0.91928,3.589,0.5041
67,0.128,0.92718,3.981,0.5039
68,0.15,0.92456,4.065,0.5043
69,0.467,0.93532,3.883,0.5051
70,0.092,0.92914,4.955,0.5056
71,0.158,0.9047,4.743,0.4942
72,0.415,0.91986,3.697,0.5032
73,0.291,0.92588,4.499,0.5021
74,0.652,0.93444,4.438,0.5029
75,0.317,0.92674,4.478,0.5023
76,0.089,0.92572,3.459,0.5023
77,0.133,0.92762,4.491,0.5051
78,0.081,0.93656,4.454,0.5112
79,0.184,0.93414,4.355,0.5072
80,0.272,0.94156,3.756,0.504
81,0.188,0.93154,5.09,0.4996
82,0.058,0.93158,4.353,0.502
83,0.102,0.92572,4.605,0.4977
84,0.163,0.93712,5.047,0.5056
85,0.462,0.9307,4.169,0.5032
86,0.202,0.93102,5.717,0.4996
87,0.043,0.94432,5.301,0.504
88,0.082,0.94026,5.432,0.5036
89,0.153,0.93684,4.005,0.5057
90,0.247,0.94318,4.536,0.4977
91,0.186,0.93944,4.39,0.5018
92,0.164,0.9402,5.616,0.5001
93,0.1,0.93112,4.145,0.4955
94,0.108,0.94066,4.509,0.5044
95,0.165,0.9429,4.313,0.5125
96,0.041,0.93274,5.185,0.5015
97,0.291,0.9413,6.652,0.4969
98,0.049,0.94572,5.73,0.5062
99,0.043,0.94152,4.466,0.5015
100,0.126,0.9415,4.98,0.4965
