epochs,training_loss,training_accuracy,testing_loss,testing_accuracy
1,2.1367396033269355,0.17734,1.992125,0.1802
2,2.0922316058861163,0.18186,1.9758125,0.1781
3,2.0745515035188737,0.19348,1.907375,0.1946
4,2.0645412667946257,0.20194,1.91875,0.2035
5,2.041190019193858,0.21316,2.0314375,0.2121
6,2.028158669225848,0.21532,1.9861875,0.2173
7,2.0172603966730644,0.21528,1.9840625,0.2153
8,2.0104286628278953,0.22256,1.9539375,0.2167
9,1.9973301343570058,0.23056,1.9671875,0.2309
10,1.995277031349968,0.2369,1.9834375,0.2388
11,1.982812539987204,0.2323,1.9916875,0.2349
12,1.977676903390915,0.23526,1.9633125,0.2407
13,1.9730467050543825,0.24288,1.94,0.2459
14,1.966427383237364,0.2469,1.9381875,0.2531
15,1.9622706333973128,0.24758,1.943625,0.2489
16,1.9594312220089571,0.258,1.9165625,0.2576
17,1.9476033269353805,0.26114,1.9118125,0.2654
18,1.9489174664107485,0.2634,1.888375,0.2623
19,1.9454081893793984,0.26416,1.8634375,0.2622
20,1.9415259117082533,0.26088,1.849125,0.2588
21,1.9315598208573255,0.27468,1.7943125,0.2702
22,1.929246321177223,0.26388,1.860125,0.2635
23,1.9291637875879717,0.2517,1.845125,0.2577
24,1.9361868202175305,0.28006,1.877375,0.271
25,1.9279865642994243,0.28564,1.857,0.2877
26,1.9294785668586054,0.27004,1.8554375,0.2672
27,1.9188899552143313,0.28332,1.8248125,0.2733
28,1.9229270633397313,0.27994,1.774875,0.2787
29,1.9199404990403073,0.28118,1.8483125,0.2782
30,1.9236282789507357,0.27652,1.8585625,0.272
31,1.9181631477927064,0.27342,1.7743125,0.2719
32,1.9306762635956494,0.27782,1.7686875,0.2732
33,1.9231279590531032,0.27628,1.8320625,0.2681
34,1.9367683941138836,0.27382,1.768375,0.2675
35,1.9242392834293025,0.2691,1.893375,0.2618
36,1.923986564299424,0.26942,1.8510625,0.268
37,1.9324753678822775,0.28236,1.8760625,0.2781
38,1.9233326935380677,0.28022,1.8354375,0.2792
39,1.9225668586052465,0.27282,1.9123125,0.2687
40,1.9106852207293665,0.2788,1.7893125,0.2738
41,1.9156436340371081,0.28674,1.7981875,0.2764
42,1.911290467050544,0.27816,1.87525,0.274
43,1.9125681381957773,0.27268,1.8548125,0.27
44,1.9200294305822136,0.28114,1.8521875,0.2782
45,1.9048835572616762,0.28928,1.786,0.2838
46,1.9101049264235446,0.26344,1.812625,0.2509
47,1.9269149072296865,0.267,1.803375,0.2609
48,1.9171759436980165,0.28594,1.8231875,0.2777
49,1.9249136276391554,0.28286,1.8100625,0.2766
50,1.926510556621881,0.27306,1.9004375,0.2737
