epochs,training_loss,training_accuracy,testing_loss,testing_accuracy
1,1.2913220338983051,0.86205,2.265,0.87
2,0.45733898305084747,0.89875,0.575,0.9044
3,0.3413050847457627,0.9125833333333333,0.358,0.9152
4,0.2965593220338983,0.9222666666666667,0.303,0.9238
5,0.26764406779661015,0.9288166666666666,0.27,0.928
6,0.24506779661016947,0.9348,0.251,0.9331
7,0.22705084745762713,0.9386666666666666,0.231,0.937
8,0.21171186440677967,0.9435833333333333,0.217,0.9405
9,0.1988135593220339,0.94675,0.204,0.9433
10,0.18757627118644069,0.9501166666666667,0.193,0.946
11,0.17747457627118643,0.9521333333333334,0.183,0.9491
12,0.1679322033898305,0.9545333333333333,0.176,0.9521
13,0.15918644067796608,0.9571333333333333,0.168,0.9546
14,0.15113559322033898,0.9593166666666667,0.16,0.9559
15,0.14415254237288136,0.9602166666666667,0.154,0.9551
16,0.13774576271186442,0.9624166666666667,0.151,0.9578
17,0.13172881355932203,0.9642166666666667,0.145,0.9594
18,0.12603389830508474,0.9659833333333333,0.141,0.9604
19,0.12110169491525423,0.9677666666666667,0.134,0.9614
20,0.11615254237288135,0.9688833333333333,0.132,0.9621
21,0.11222033898305085,0.9688833333333333,0.128,0.9626
22,0.10818644067796611,0.9707333333333333,0.126,0.9633
23,0.10406779661016949,0.9720666666666666,0.124,0.9651
24,0.10113559322033898,0.97275,0.119,0.9658
25,0.0966271186440678,0.9738333333333333,0.118,0.9666
26,0.09425423728813559,0.9745166666666667,0.116,0.9672
27,0.09086440677966101,0.9755333333333334,0.114,0.9676
28,0.0879322033898305,0.9764333333333334,0.112,0.9678
29,0.08554237288135592,0.9774666666666667,0.111,0.9685
30,0.0828135593220339,0.9780166666666666,0.111,0.9695
31,0.07988135593220339,0.97945,0.108,0.9692
32,0.07776271186440678,0.9794666666666667,0.107,0.9702
33,0.07522033898305085,0.9802333333333333,0.105,0.97
34,0.07342372881355932,0.98065,0.105,0.9699
35,0.07128813559322035,0.9805333333333334,0.103,0.9693
36,0.07008474576271186,0.98155,0.104,0.9708
37,0.06766101694915254,0.9820666666666666,0.102,0.9704
38,0.06538983050847458,0.98285,0.101,0.9709
39,0.06384745762711865,0.9829666666666667,0.101,0.97
40,0.061949152542372876,0.9838666666666667,0.1,0.9714
41,0.060576271186440676,0.9841666666666666,0.098,0.9712
42,0.05922033898305085,0.9850333333333333,0.099,0.9711
43,0.057559322033898304,0.985,0.099,0.9717
44,0.05610169491525424,0.9852166666666666,0.097,0.9708
45,0.054593220338983055,0.98605,0.098,0.9723
46,0.05313559322033898,0.9866,0.097,0.9719
47,0.05191525423728814,0.9874333333333334,0.096,0.9725
48,0.05049152542372882,0.9868666666666667,0.096,0.9726
49,0.04983050847457627,0.98775,0.098,0.9726
50,0.04811864406779661,0.9879166666666667,0.096,0.9726
51,0.04733898305084746,0.9884833333333334,0.097,0.9728
52,0.045949152542372876,0.9889166666666667,0.097,0.972
53,0.04479661016949152,0.9889833333333333,0.097,0.9723
54,0.04384745762711865,0.98945,0.097,0.9729
55,0.04266101694915254,0.9898333333333333,0.095,0.9739
56,0.0412542372881356,0.9899166666666667,0.094,0.9735
57,0.04069491525423728,0.9903833333333333,0.095,0.973
58,0.03954237288135593,0.9907333333333334,0.095,0.9728
59,0.03877966101694915,0.9907333333333334,0.096,0.9727
60,0.0376271186440678,0.9911666666666666,0.096,0.9733
61,0.03706779661016949,0.9912,0.096,0.9738
62,0.03589830508474576,0.9919166666666667,0.095,0.9732
63,0.03516949152542373,0.9922833333333333,0.095,0.9733
64,0.033999999999999996,0.99235,0.096,0.9728
65,0.03337288135593221,0.9925333333333334,0.095,0.9735
66,0.03276271186440678,0.99325,0.097,0.9737
67,0.0316271186440678,0.9932666666666666,0.096,0.9726
68,0.03106779661016949,0.9935166666666667,0.097,0.9733
69,0.03049152542372881,0.99325,0.096,0.9735
70,0.029474576271186444,0.99365,0.096,0.973
71,0.02901694915254237,0.9940666666666667,0.098,0.9728
72,0.02830508474576271,0.9937666666666667,0.096,0.974
73,0.027474576271186442,0.9946,0.095,0.973
74,0.027,0.9947666666666667,0.096,0.9737
75,0.026372881355932205,0.9949666666666667,0.096,0.9727
76,0.02535593220338983,0.99495,0.097,0.9728
77,0.024881355932203388,0.9952666666666666,0.098,0.9724
78,0.024610169491525422,0.9956666666666667,0.098,0.974
79,0.02372881355932203,0.99575,0.098,0.9733
80,0.023067796610169493,0.9959333333333333,0.098,0.9734
81,0.022389830508474574,0.9955,0.098,0.9738
82,0.022271186440677968,0.9957833333333334,0.099,0.9726
83,0.021847457627118642,0.9966,0.1,0.9728
84,0.021457627118644067,0.9964833333333334,0.101,0.9731
85,0.02057627118644068,0.9967666666666667,0.1,0.9728
86,0.019745762711864408,0.9965666666666667,0.101,0.9726
87,0.019779661016949154,0.9968333333333333,0.1,0.9731
88,0.019152542372881356,0.9969166666666667,0.102,0.9726
89,0.018627118644067797,0.9971,0.101,0.9726
90,0.018338983050847458,0.9971166666666667,0.102,0.9727
91,0.018152542372881355,0.9975833333333334,0.102,0.9735
92,0.017237288135593217,0.9976166666666667,0.102,0.9733
93,0.016864406779661018,0.9977666666666667,0.103,0.9728
94,0.016661016949152542,0.9978,0.105,0.973
95,0.016152542372881357,0.9979833333333333,0.104,0.9725
96,0.01576271186440678,0.9979,0.105,0.9735
97,0.015322033898305085,0.9979,0.104,0.973
98,0.014847457627118645,0.9983166666666666,0.105,0.9727
99,0.014847457627118645,0.9981666666666666,0.106,0.9734
100,0.01447457627118644,0.9982666666666666,0.106,0.9729
